city,size_1,BH_2010,BH_2020,UHAE_range,UHAE_temp,range_2010,temp_2010,range_2020,temp_2020,GDP,population,风向差(绝对值),speed_2010(m/s),speed_2020(m/s),size_2,center_bh_rise(m)
恩施土家族苗族自治州,small,5.637914418,15.36434909,9.222760762,0.792186934,0.655099191,0.341476808,8.322082404,0.769395814,1117.7,347.3679109,0,2.900298619,3.510970794,small,9.726434672
承德市,small,4.395947657,10.37063245,7.313987198,0.57637414,3.18033588,0.306367376,1.11265348,0.355918116,1550.3,337.436096,0,3.039483244,3.194667803,small,5.974684793
拉萨市,small,2.237968174,9.031827516,7.476964676,0.598621186,0.543561789,0.239567029,1.072225664,0.387877974,678.16,89.11335009,22.5,3.16968069,2.936458002,small,6.793859342
日喀则市,small,1.532272196,7.196011112,7.196033637,0.587695954,0.181066093,0.485445931,5.507353996,0.663403617,322.78,81.83061887,0,3.735128254,3.533271676,small,5.663738916
日照市,small,5.229252073,18.30538004,11.18175933,1.057419415,2.846465391,0.453715483,17.10841752,1.545071109,1996.24,297.5439589,45,4.431180008,4.380369258,small,13.07612797
晋中市,small,6.580297135,16.38675509,9.24835637,1.091873512,1.059937229,0.352450016,6.286009023,0.828591009,1468.77,342.8850432,22.5,2.878337276,3.213584573,small,9.806457955
晋城市,small,7.207232204,13.05359476,3.671611794,0.556851781,1.947039003,0.650157308,5.393730734,0.577910021,1425.72,222.2340561,22.5,2.904362778,3.252071878,small,5.846362556
普洱市,small,3.011618343,8.912896656,15.09331324,0.581828759,0.141106719,0.338915891,2.082724409,0.437683609,945.42,243.5878538,22.5,2.554468098,2.958499188,small,5.901278313
景德镇市,small,6.645063981,16.55153714,19.0331726,0.724274076,1.615125022,0.546466563,6.658212559,0.897262436,957.14,164.1160941,0,3.56521774,4.079582313,small,9.906473159
朝阳市,small,6.964073361,14.90031254,9.038334491,0.696706842,6.410103538,0.710673381,16.23177928,1.02973189,875.59,288.7784692,22.5,3.965372872,4.337037401,small,7.936239179
本溪市,small,8.925552475,12.87460055,7.075613965,0.566965328,6.752223094,0.6906705,16.06805823,1.082287037,810.42,132.2242096,22.5,3.610308695,3.902561718,small,3.949048075
枣庄市,small,2.605628638,12.21166551,9.472799587,0.739193133,5.983525239,0.119831927,9.942136165,0.642385562,1733.25,388.3343708,22.5,4.26566806,4.171113988,small,9.606036872
