city_name,year,R,R的平方,p值,RMSE,样本数量
岳阳市,2010,0.8278,0.6853,9.166300e-09,0.0798,31.0
岳阳市,2020,0.906,0.8208,2.405000e-12,0.0736,31.0
崇左市,2010,0.7004,0.4906,2.333000e-05,0.116,29.0
崇左市,2020,0.9023,0.8141,2.276400e-11,0.0888,29.0
巴中市,2010,0.8086,0.6538,1.116900e-07,0.1716,29.0
巴中市,2020,0.8806,0.7754,1.398400e-10,0.1679,30.0
巴彦淖尔市,2010,0.4113,0.1692,2.152700e-02,0.0745,31.0
巴彦淖尔市,2020,0.5362,0.2875,1.874100e-03,0.0828,31.0
巴音郭楞蒙古自治州,2010,0.7581,0.5748,1.898800e-06,0.7273,29.0
巴音郭楞蒙古自治州,2020,0.6339,0.4019,1.286900e-04,0.7996,31.0
常州市,2010,0.9481,0.8988,5.790500e-16,0.0197,31.0
常州市,2020,0.9871,0.9744,7.808500e-24,0.0161,30.0
常德市,2010,0.9253,0.8562,9.709100e-14,0.0553,31.0
常德市,2020,0.9738,0.9483,6.709300e-19,0.0209,29.0
平凉市,2010,0.3613,0.1305,4.585600e-02,0.2982,31.0
平凉市,2020,0.6734,0.4535,4.537400e-05,0.2103,30.0
平顶山市,2010,0.9417,0.8868,2.715000e-14,0.0341,29.0
平顶山市,2020,0.9408,0.8851,3.309400e-14,0.0569,29.0
广元市,2010,0.9116,0.831,2.516500e-12,0.2624,30.0
广元市,2020,0.918,0.8428,9.138800e-13,0.2969,30.0
广安市,2010,0.4142,0.1716,2.547700e-02,0.088,29.0
广安市,2020,0.8812,0.7766,2.791900e-10,0.0952,29.0
广州市,2010,0.9339,0.8722,4.924300e-14,0.0332,30.0
广州市,2020,0.9085,0.8254,4.000500e-12,0.0271,30.0
庆阳市,2010,0.8726,0.7614,3.276000e-10,0.0799,30.0
庆阳市,2020,0.7141,0.51,6.437200e-06,0.0898,31.0
廊坊市,2010,0.9218,0.8498,1.258200e-12,0.0446,29.0
廊坊市,2020,0.9881,0.9763,2.699700e-24,0.0208,30.0
