city_name,year,R,R的平方,p值,RMSE,样本数量
德宏傣族景颇族自治州,2020,0.6844,0.4684,2.177700e-05,0.8905,31.0
德州市,2010,0.9724,0.9455,7.139700e-20,0.0629,31.0
德州市,2020,0.9945,0.989,5.404000e-29,0.0203,30.0
德阳市,2010,0.9452,0.8934,1.243000e-15,0.0332,31.0
德阳市,2020,0.995,0.9901,1.272300e-29,0.0156,30.0
忻州市,2010,0.5686,0.3233,8.456400e-04,1.2671,31.0
忻州市,2020,0.6665,0.4442,4.253500e-05,1.1673,31.0
怀化市,2010,0.4711,0.222,7.470000e-03,1.0341,31.0
怀化市,2020,0.597,0.3564,3.917900e-04,0.9824,31.0
怒江傈僳族自治州,2010,0.7501,0.5627,1.182200e-06,1.8502,31.0
怒江傈僳族自治州,2020,0.7955,0.6328,8.915700e-08,1.63,31.0
恩施土家族苗族自治州,2010,0.6644,0.4415,8.461800e-05,0.58,29.0
恩施土家族苗族自治州,2020,0.8879,0.7884,1.329500e-10,0.4165,29.0
惠州市,2010,0.8943,0.7998,6.256800e-11,0.1234,29.0
惠州市,2020,0.883,0.7797,2.306300e-10,0.1648,29.0
成都市,2010,0.724,0.5242,6.110400e-06,0.0675,30.0
成都市,2020,0.9747,0.9501,4.124200e-19,0.0407,29.0
扬州市,2010,0.9151,0.8374,5.785700e-13,0.0629,31.0
扬州市,2020,0.9557,0.9133,2.101100e-16,0.0391,30.0
承德市,2010,0.4324,0.187,1.701900e-02,0.3677,30.0
承德市,2020,0.8241,0.6792,2.182200e-08,0.2312,30.0
抚州市,2010,0.8941,0.7994,2.838600e-11,0.087,30.0
抚州市,2020,0.964,0.9292,4.689900e-17,0.0468,29.0
抚顺市,2010,0.8934,0.7982,1.356100e-11,0.202,31.0
抚顺市,2020,0.9286,0.8624,3.839200e-13,0.1905,29.0
拉萨市,2010,0.4652,0.2164,8.365800e-03,1.1965,31.0
拉萨市,2020,0.5184,0.2688,2.810100e-03,1.0921,31.0
揭阳市,2010,0.7821,0.6117,2.035200e-07,0.1556,31.0
揭阳市,2020,0.8991,0.8084,6.397800e-12,0.1576,31.0
攀枝花市,2010,0.7207,0.5194,4.814400e-06,0.9267,31.0
攀枝花市,2020,0.8668,0.7514,2.884100e-10,0.6873,31.0
文山壮族苗族自治州,2010,0.8174,0.6681,2.007000e-08,0.287,31.0
文山壮族苗族自治州,2020,0.9467,0.8963,2.619800e-15,0.156,30.0
文昌市,2010,0.9356,0.8753,4.165500e-09,0.0449,19.0
